timestamp,step,EEKPI_RL_2,EEKPI_RL_3,EEKPI_RL_4,EEKPI_RL_5,EEKPI_RL_6,EEKPI_RL_7,EEKPI_RL_8,ES_ON_COST_2,ES_ON_COST_3,ES_ON_COST_4,ES_ON_COST_5,ES_ON_COST_6,ES_ON_COST_7,ES_ON_COST_8,QosFlow.PdcpPduVolumeDL_Filter_2,QosFlow.PdcpPduVolumeDL_Filter_3,QosFlow.PdcpPduVolumeDL_Filter_4,QosFlow.PdcpPduVolumeDL_Filter_5,QosFlow.PdcpPduVolumeDL_Filter_6,QosFlow.PdcpPduVolumeDL_Filter_7,QosFlow.PdcpPduVolumeDL_Filter_8,DRB.PdcpSduDelayDl.UEID (pdcpLatency)_2,DRB.PdcpSduDelayDl.UEID (pdcpLatency)_3,DRB.PdcpSduDelayDl.UEID (pdcpLatency)_4,DRB.PdcpSduDelayDl.UEID (pdcpLatency)_5,DRB.PdcpSduDelayDl.UEID (pdcpLatency)_6,DRB.PdcpSduDelayDl.UEID (pdcpLatency)_7,DRB.PdcpSduDelayDl.UEID (pdcpLatency)_8,RLF_Counter_2,RLF_Counter_3,RLF_Counter_4,RLF_Counter_5,RLF_Counter_6,RLF_Counter_7,RLF_Counter_8,RLF_VALUE_2,RLF_VALUE_3,RLF_VALUE_4,RLF_VALUE_5,RLF_VALUE_6,RLF_VALUE_7,RLF_VALUE_8,RRU_PRBTOTDL_2,RRU_PRBTOTDL_3,RRU_PRBTOTDL_4,RRU_PRBTOTDL_5,RRU_PRBTOTDL_6,RRU_PRBTOTDL_7,RRU_PRBTOTDL_8,RRU.PrbUsedDl_2,RRU.PrbUsedDl_3,RRU.PrbUsedDl_4,RRU.PrbUsedDl_5,RRU.PrbUsedDl_6,RRU.PrbUsedDl_7,RRU.PrbUsedDl_8,TB_TOTNBRDLINITIAL_64QAM_RATIO_2,TB_TOTNBRDLINITIAL_64QAM_RATIO_3,TB_TOTNBRDLINITIAL_64QAM_RATIO_4,TB_TOTNBRDLINITIAL_64QAM_RATIO_5,TB_TOTNBRDLINITIAL_64QAM_RATIO_6,TB_TOTNBRDLINITIAL_64QAM_RATIO_7,TB_TOTNBRDLINITIAL_64QAM_RATIO_8,SUM_QosFlow.PdcpPduVolumeDL_Filter,SUM_RLF_VALUE,SUM_TB.TotNbrDl.1,SUM_ES_ON_COST,AVG_DRB.PdcpSduDelayDl.UEID (pdcpLatency),ZERO_COUNT,latency_cell_us,latency_ue_us,reward
1778854283712,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,14.285714285714285,0.0,50.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,0.0,7.194244604316547e-06,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6e-05,5.670000000000002,0.0,2.0,0.0,0.0,-1.5470114000000001
1778854283812,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7290000000000001,0.0,0.0,0.0,0.0,0.0,0.7290000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169042.864,169042.864,169042.864,169042.864,169042.864,0.0,169042.864,0.0,20.0,0.0,0.0,28.57142857142857,0.0,50.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,0.0,7.194244604316547e-06,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6e-05,1.4580000000000002,0.0,4.0,169042.86400000003,169042.86400000003,-1.9058114000000002
1778854283912,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.9,0.9,0.0,0.6561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219145.504,219145.504,219145.504,219145.504,219145.504,0.0,219145.504,5.0,20.0,0.0,0.0,28.57142857142857,0.0,50.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,0.0,7.194244604316547e-06,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6e-05,3.3561,0.0,5.0,219145.50400000007,219145.50400000007,-2.4856214000000003
1778854284012,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.81,0.0,0.81,0.81,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109209.455,109209.455,109209.455,109209.455,109209.455,0.0,109209.455,5.0,30.0,0.0,9.090909090909092,28.57142857142857,0.0,50.0,1.0,3.0,0.0,1.0,2.0,0.0,1.0,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,0.0,7.194244604316547e-06,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6e-05,4.23,0.0,5.0,109209.455,109209.455,-2.9730114000000003
1778854284112,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.7290000000000001,0.0,0.7290000000000001,0.7290000000000001,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262169.455,262169.455,262169.455,262169.455,262169.455,0.0,262169.455,5.0,10.0,0.0,0.0,28.57142857142857,0.0,50.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,0.0,7.194244604316547e-06,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6e-05,3.8070000000000004,0.0,5.0,262169.455,262169.455,-2.3307114
1778854284212,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7290000000000001,0.6561,0.0,0.6561,0.6561,0.7290000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451661.479,451661.479,451661.479,451661.479,451661.479,0.0,451661.479,5.0,10.0,0.0,0.0,28.57142857142857,0.0,50.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,0.0,7.194244604316547e-06,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6e-05,3.4263,0.0,5.0,451661.47899999976,451661.47899999976,-2.2926414
1778854284312,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6561,0.5904900000000001,0.0,0.5904900000000001,0.5904900000000001,0.6561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640537.995,640537.995,640537.995,640537.995,640537.995,0.0,640537.995,5.0,10.0,7.6923076923076925,9.090909090909092,28.57142857142857,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,0.0,7.194244604316547e-06,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6e-05,3.08367,0.0,5.0,640537.9949999996,640537.9949999996,-2.4583784000000004
1778854284412,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5904900000000001,0.531441,0.0,0.531441,0.531441,0.5904900000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,779601.746,779601.746,779601.746,779601.746,779601.746,0.0,779601.746,10.0,10.0,7.6923076923076925,9.090909090909092,28.57142857142857,0.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,0.0,7.194244604316547e-06,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6e-05,2.775303,0.0,5.0,779601.746,779601.746,-2.6275417
1778854284412,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5904900000000001,0.531441,0.0,0.531441,0.531441,0.5904900000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,779601.746,779601.746,779601.746,779601.746,779601.746,0.0,779601.746,10.0,10.0,7.6923076923076925,9.090909090909092,28.57142857142857,0.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,0.0,7.194244604316547e-06,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6e-05,2.775303,0.0,5.0,779601.746,779601.746,-2.6275417
1778855770239,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,14.285714285714285,0.0,50.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,0.0,7.194244604316547e-06,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6e-05,1.62,0.0,4.0,0.0,0.0,-1.5220114000000002
1778855770339,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7290000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133717.88,133717.88,133717.88,133717.88,133717.88,0.0,133717.88,0.0,20.0,0.0,0.0,28.57142857142857,0.0,50.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,0.0,7.194244604316547e-06,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6e-05,0.7290000000000001,0.0,3.0,133717.88,133717.88,-1.6429113999999998
1778855770439,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111366.146,111366.146,111366.146,111366.146,111366.146,111366.146,111366.146,10.0,10.0,0.0,0.0,0.0,0.0,50.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.000000000000001e-05,1.8,0.0,5.0,111366.14599999995,111366.14599999995,-1.9300133
1778855770539,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.9,0.9,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106533.826,106533.826,106533.826,106533.826,106533.826,106533.826,106533.826,5.0,10.0,0.0,0.0,0.0,0.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.000000000000001e-05,3.5100000000000002,0.0,4.0,106533.82600000004,106533.82600000004,-1.7110133
1778855770639,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.81,0.0,0.7290000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198556.73200000002,198556.73200000002,198556.73200000002,198556.73200000002,198556.73200000002,198556.73200000002,198556.73200000002,5.0,0.0,7.6923076923076925,0.0,28.57142857142857,100.0,50.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.000000000000001e-05,2.349,0.0,4.0,198556.73200000013,198556.73200000013,-2.1949133
1778855770739,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7290000000000001,0.0,0.7290000000000001,0.0,0.6561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346282.284,346282.284,346282.284,346282.284,346282.284,346282.284,346282.284,5.0,0.0,7.6923076923076925,0.0,28.57142857142857,100.0,50.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.000000000000001e-05,2.1141,0.0,4.0,346282.2840000002,346282.2840000002,-2.1714233000000003
1778855770839,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6561,0.0,0.6561,0.0,0.5904900000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501831.248,501831.248,501831.248,501831.248,501831.248,501831.248,501831.248,0.0,10.0,15.384615384615385,0.0,42.857142857142854,100.0,50.0,0.0,1.0,2.0,0.0,3.0,1.0,1.0,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.000000000000001e-05,1.9026900000000002,0.0,4.0,501831.248,501831.248,-2.5502823
1778856956958,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.81,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,14.285714285714285,0.0,50.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,0.0,7.194244604316547e-06,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6e-05,2.43,0.0,4.0,0.0,0.0,-1.6030114000000004
1778856957058,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126096.596,126096.596,126096.596,126096.596,126096.596,0.0,126096.596,0.0,10.0,0.0,0.0,14.285714285714285,0.0,50.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,0.0,7.194244604316547e-06,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6e-05,0.0,0.0,2.0,126096.59599999999,126096.59599999999,-0.9800114000000001
1778856957158,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151681.815,151681.815,151681.815,151681.815,151681.815,0.0,151681.815,15.0,20.0,7.6923076923076925,0.0,14.285714285714285,0.0,50.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,0.0,7.194244604316547e-06,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6e-05,0.9,0.0,5.0,151681.81499999992,151681.81499999992,-2.6400114
1778856957258,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110050.529,110050.529,110050.529,110050.529,110050.529,0.0,110050.529,5.0,10.0,7.6923076923076925,0.0,14.285714285714285,0.0,50.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,0.0,7.194244604316547e-06,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6e-05,3.6,0.0,5.0,110050.52900000001,110050.52900000001,-2.3100114
1778856957358,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.81,0.0,0.0,0.81,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237533.005,237533.005,237533.005,237533.005,237533.005,0.0,237533.005,0.0,20.0,0.0,0.0,14.285714285714285,0.0,50.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,0.0,7.194244604316547e-06,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6e-05,3.24,0.0,5.0,237533.00500000006,237533.00500000006,-2.0740114
1778856957458,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7290000000000001,0.7290000000000001,0.0,0.0,0.7290000000000001,0.7290000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404267.531,404267.531,404267.531,404267.531,404267.531,0.0,404267.531,5.0,30.0,0.0,0.0,14.285714285714285,0.0,50.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,0.0,7.194244604316547e-06,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6e-05,2.9160000000000004,0.0,5.0,404267.53099999996,404267.53099999996,-2.4416114
1778856957558,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6561,0.6561,0.0,0.0,0.6561,0.6561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622848.0939999999,622848.0939999999,622848.0939999999,622848.0939999999,622848.0939999999,0.0,622848.0939999999,0.0,40.0,0.0,0.0,14.285714285714285,0.0,50.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,0.0,7.194244604316547e-06,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6e-05,2.6244,0.0,5.0,622848.0939999996,622848.0939999996,-2.4124514
1778856957658,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5904900000000001,0.5904900000000001,0.0,0.0,0.5904900000000001,0.5904900000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,803749.3940000001,803749.3940000001,803749.3940000001,803749.3940000001,803749.3940000001,0.0,803749.3940000001,10.0,10.0,15.384615384615385,0.0,14.285714285714285,0.0,50.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,0.0,7.194244604316547e-06,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6e-05,2.3619600000000003,0.0,5.0,803749.3940000003,803749.3940000003,-2.5862074
1778856957658,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5904900000000001,0.5904900000000001,0.0,0.0,0.5904900000000001,0.5904900000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,803749.3940000001,803749.3940000001,803749.3940000001,803749.3940000001,803749.3940000001,0.0,803749.3940000001,10.0,10.0,15.384615384615385,0.0,14.285714285714285,0.0,50.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,0.0,7.194244604316547e-06,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6e-05,2.3619600000000003,0.0,5.0,803749.3940000003,803749.3940000003,-2.5862074
